u v
5.851703406813626440e-01 3.309084055735517227e-01
5.835645767455138744e-01 3.326653306613226446e-01
5.831663326653305779e-01 3.331018444346868224e-01
5.817332286510135120e-01 3.346693386773546552e-01
5.811623246492985118e-01 3.352949384607048500e-01
5.799016734065679524e-01 3.366733466933867214e-01
5.791583166332665567e-01 3.374877024008857695e-01
5.780699265365722983e-01 3.386773547094187875e-01
5.771543086172343795e-01 3.396801513727719657e-01
5.762380039987333724e-01 3.406813627254508536e-01
5.751503006012023134e-01 3.418723008779809280e-01
5.744059222027624312e-01 3.426853707414829198e-01
5.731462925851702472e-01 3.440641668188032520e-01
5.725736980300262235e-01 3.446893787575149859e-01
5.711422845691381811e-01 3.462557655156274228e-01
5.707413488542102398e-01 3.466933867735470520e-01
5.691382765531061150e-01 3.484471137252448392e-01
5.689088925630620963e-01 3.486973947895791182e-01
5.671342685370740488e-01 3.506382286600852050e-01
5.670763475812762300e-01 3.507014028056111843e-01
5.652511544707096158e-01 3.527054108216432504e-01
5.651302605210419827e-01 3.528387503543551906e-01
5.634296378381407067e-01 3.547094188376753165e-01
5.631262525050100276e-01 3.550439504222249187e-01
5.616080181612636002e-01 3.567134268537073827e-01
5.611222444889779615e-01 3.572489314730620813e-01
5.597863165873810942e-01 3.587174348697393933e-01
5.591182364729458953e-01 3.594537148096370593e-01
5.579645549228610113e-01 3.607214428857714594e-01
5.571142284569138292e-01 3.616583223546840919e-01
5.561427556637845715e-01 3.627254509018035811e-01
5.551102204408817631e-01 3.638627766797052354e-01
5.543209420282937394e-01 3.647294589178356472e-01
5.531062124248496970e-01 3.660671010353377941e-01
5.524991379907491229e-01 3.667334669338677133e-01
5.511022044088176308e-01 3.682713193833905829e-01
5.506773683178188827e-01 3.687374749498997795e-01
5.490981963927855647e-01 3.704754564306502740e-01
5.488556586066244414e-01 3.707414829659318456e-01
5.470941883767534986e-01 3.726795376645799518e-01
5.470340353250864318e-01 3.727454909819639117e-01
5.452208353602036039e-01 3.747494989979959779e-01
5.450901803607214324e-01 3.748946986125235026e-01
5.434117966855556148e-01 3.767535070140280440e-01
5.430861723446893663e-01 3.771152931004998488e-01
5.416028486926300900e-01 3.787575150300601656e-01
5.410821643286571891e-01 3.793358823963129400e-01
5.397940221377541814e-01 3.807615230460922318e-01
5.390781563126252340e-01 3.815564985604266157e-01
5.379853488658115079e-01 3.827655310621242424e-01
5.370741482965931679e-01 3.837771747375846587e-01
5.361768618656309604e-01 3.847695390781562530e-01
5.350701402805611018e-01 3.859979452118994514e-01
5.343685953287491408e-01 3.867735470941883191e-01
5.330661322645290356e-01 3.882188454652498177e-01
5.325605847117929059e-01 3.887775551102203853e-01
5.310621242484969695e-01 3.904399122392216426e-01
5.307528668027454710e-01 3.907815631262524514e-01
5.290581162324649034e-01 3.926611836008478407e-01
5.289454797913775153e-01 3.927855711422845175e-01
5.271444216507618075e-01 3.947895791583165281e-01
5.270541082164328373e-01 3.948909433675671377e-01
5.253516741081335484e-01 3.967935871743486498e-01
5.250501002004007711e-01 3.971319940324465891e-01
5.235592904374193335e-01 3.987975951903807159e-01
5.230460921843687050e-01 3.993733569506919268e-01
5.217673155588293810e-01 4.008016032064127820e-01
5.210420841683366389e-01 4.016150808249636106e-01
5.199757961759349234e-01 4.028056112224448482e-01
5.190380761523045727e-01 4.038572162402255250e-01
5.181847808747341855e-01 4.048096192384769143e-01
5.170340681362725066e-01 4.060998157685101750e-01
5.163943202293359569e-01 4.068136272545089804e-01
5.150300601202404405e-01 4.083429340806292718e-01
5.146044669147805672e-01 4.088176352705410466e-01
5.130260521042083743e-01 4.105866280653759359e-01
5.128152758275682510e-01 4.108216432865731127e-01
5.110271544960961476e-01 4.128256513026051788e-01
5.110220440881763082e-01 4.128314605378325397e-01
5.092552963074271632e-01 4.148296593186372450e-01
5.090180360721442421e-01 4.150993293689912988e-01
5.074841748107741246e-01 4.168336673346693111e-01
5.070140280561121759e-01 4.173679679235048345e-01
5.057138553043586393e-01 4.188376753507013772e-01
5.050100200400801098e-01 4.196374502467918322e-01
5.039444059577239399e-01 4.208416833667334433e-01
